title	repository	comment
	https://github.com/rime/librime-sample	
	https://github.com/rime/rppi	
	https://github.com/rimeinn/coc-rime	
	https://github.com/rimeinn/ime.nvim	
	https://github.com/rimeinn/librime-ahk	
	https://github.com/rimeinn/pyrime	
	https://github.com/rimeinn/rime.nvim	
	https://github.com/rimeinn/zsh-rime	
	https://github.com/shitlime/RimeSpellTool	RIME 输入法的拼写运算测试工具
	https://github.com/tswwe/my-rime-lua	
	https://github.com/wlh320/zed-ext-rime-ls	
	https://github.com/zhangkaiser/librime-wasm	
=	https://github.com/jimmy54/iRimeLib	基於著名的Rime輸入法框架，iRime（iOS）底层库。
=	https://github.com/lotem/rimeime	
=	https://github.com/rime/librime-legacy	
=	https://github.com/wzhd/rime	Rust binding for the Rime
=	https://github.com/Z572/guile-rime	Guile bindings for Rime.
-	https://github.com/imfuxiao/LibrimeKit	
-	https://github.com/lotem/librime	
### Rime其他资料		
	https://github.com/ACsediment/RimeNewbie	
	https://github.com/ayaka14732/awesome-rime	
	https://github.com/gaboolic/awesome-rime	
	https://github.com/LEOYoon-Tsaw/Rime_collections	
	https://github.com/osfans/rime-tool	Rime開源碼表
	https://github.com/rimeinn/rimeinn.github.io	https://rimeinn.github.io
=	https://github.com/kitty-panics/awesome-rime	
=	https://github.com/lotem/rime-forge	
### 输入法软件和方案		
	https://github.com/dongyuwei/hallelujahIM	macOS/Windows 哈利路亚英文输入法
	https://github.com/Flauver/jdh	简单鹤（音形码）
	https://github.com/florisboard/florisboard	Android
	https://github.com/hanxinma/hanxin	汉心码/龙码
	https://github.com/hertz-hwang/hao	好码 <https://code.hertz.ltd>
	https://github.com/ibus/ibus	Linux
	https://github.com/Jackchows/Cangjie5	倉頡五代
	https://github.com/lakent/yi	逸码
	https://github.com/lennylxx/google-input-tools-macos	macOS
	https://github.com/orbitoo/kumo	雲碼
	https://github.com/pimgeek/zen-tiger-code	禅意虎码（魔改版虎码）
	https://github.com/ProjectLaplace/LinguistZixiaInput	macOS，紫霞输入法
	https://github.com/qwertyyb/Fire	Macos五笔输入法
	https://github.com/sbsrf/sbsrf	戴石麟等-声笔输入法 <https://sbxlm.github.io>
